nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  total-pressure
      3129, 3.704538670E-03, 5.432164853E-03, 1.670425622E-02, 9.997983763E+06
      3130, 3.635932788E-03, 5.477260832E-03, 1.670424874E-02, 9.997989353E+06
      3131, 3.567282837E-03, 5.522279441E-03, 1.670423716E-02, 9.997993955E+06
      3132, 3.498530259E-03, 5.567150229E-03, 1.670424892E-02, 9.997997215E+06
      3133, 3.428217164E-03, 5.609531865E-03, 1.670424464E-02, 9.997999351E+06
      3134, 3.357908470E-03, 5.651910849E-03, 1.670424037E-02, 9.998000652E+06
      3135, 3.287599786E-03, 5.694289872E-03, 1.670423637E-02, 9.998001116E+06
      3136, 6.566381283E-03, 1.511801212E-12, 1.689548385E-02, 9.997957147E+06
      3137, 6.564845933E-03, 8.147226954E-05, 1.689548741E-02, 9.997956727E+06
      3138, 6.563310400E-03, 1.629445339E-04, 1.689549165E-02, 9.997955532E+06
      3139, 6.561774717E-03, 2.444216503E-04, 1.689549589E-02, 9.997953553E+06
      3140, 6.557395845E-03, 3.257965470E-04, 1.689548456E-02, 9.997950464E+06
      3141, 6.552757411E-03, 4.071523776E-04, 1.689549556E-02, 9.997946035E+06
      3142, 6.548041315E-03, 4.885088272E-04, 1.689550299E-02, 9.997940493E+06
      3143, 6.540837942E-03, 5.696845630E-04, 1.689547896E-02, 9.997933149E+06
